Placa,Clase,Marca,A¤o de fabricaci¢n del taxi,Categor¡a,Tipo taxi
TAP-000009,Taxi Aeropuerto,Toyota,2014,Microbus,Microbus
TAP-000010,Taxi Aeropuerto,Toyota,2014,Automovil,Sedan
TAP-000011,Taxi Aeropuerto,Toyota,2014,Microbus,Microbus
TAP-000012,Taxi Aeropuerto,Toyota,2014,Microbus,Microbus
TAP-000014,Taxi Aeropuerto,Toyota,2014,Automovil,Microbus
TAP-000015,Taxi Aeropuerto,Toyota,2014,Automovil,Sedan
TAP-000017,Taxi Aeropuerto,Toyota,2014,Automovil,Sedan
TAP-000018,Taxi Aeropuerto,Toyota,2014,Automovil,Sedan
TAP-000020,Taxi Aeropuerto,Toyota,2014,Automovil,Sedan
TAP-000021,Taxi Aeropuerto,Toyota,2014,Automovil,Sedan
TAP-000022,Taxi Aeropuerto,Toyota,2014,Microbus,Microbus
TAP-000023,Taxi Aeropuerto,Nissan,2013,Microbus,Microbus
TAP-000024,Taxi Aeropuerto,Toyota,2014,Automovil,Sedan
TAP-000026,Taxi Aeropuerto,Toyota,2014,Automovil,Sedan
TAP-000028,Taxi Aeropuerto,Toyota,2014,Automovil,Sedan
TAP-000029,Taxi Aeropuerto,Toyota,2014,Microbus,Microbus
TAP-000030,Taxi Aeropuerto,Toyota,2014,Microbus,Microbus
TAP-000031,Taxi Aeropuerto,Toyota,2014,Automovil,Sedan
TAP-000033,Taxi Aeropuerto,Toyota,2014,Automovil,Sedan
TAP-000034,Taxi Aeropuerto,Toyota,2014,Automovil,Sedan
TAP-000035,Taxi Aeropuerto,Toyota,2014,Automovil,Sedan
TAP-000036,Taxi Aeropuerto,Toyota,2014,Microbus,Microbus
TAP-000037,Taxi Aeropuerto,Toyota,2014,Automovil,Microbus
TAP-000038,Taxi Aeropuerto,Toyota,2014,Microbus,Microbus
TAP-000046,Taxi Aeropuerto,Toyota,2013,Automovil,Sedan
TAP-000047,Taxi Aeropuerto,Citroen,2014,Automovil,Sedan
TAP-000048,Taxi Aeropuerto,Toyota,2017,Microbus,Microbus
TAP-000049,Taxi Aeropuerto,Toyota,2017,Automovil,Sedan
TAP-000051,Taxi Aeropuerto,Toyota,2017,Microbus,Microbus
TAP-000052,Taxi Aeropuerto,Hyundai,2013,Microbus,Microbus
TAP-000053,Taxi Aeropuerto,Nissan,2018,Microbus,Microbus
TAP-000054,Taxi Aeropuerto,Toyota,2014,Microbus,Microbus
TAP-000055,Taxi Aeropuerto,Nissan,2017,Automovil,Sedan
TAP-000056,Taxi Aeropuerto,Toyota,2014,Automovil,Sedan
TAP-000057,Taxi Aeropuerto,Toyota,2018,Automovil,Sedan
TAP-000058,Taxi Aeropuerto,Toyota,2017,Microbus,Microbus
TAP-000059,Taxi Aeropuerto,Toyota,2017,Microbus,Microbus
TAP-000061,Taxi Aeropuerto,Toyota,2018,Microbus,Microbus
TAP-000062,Taxi Aeropuerto,Toyota,2013,Automovil,Sedan
TAP-000063,Taxi Aeropuerto,Toyota,2017,Automovil,Sedan
TAP-000064,Taxi Aeropuerto,Toyota,2014,Microbus,Microbus
TAP-000065,Taxi Aeropuerto,Toyota,2014,Automovil,Sedan
TAP-000066,Taxi Aeropuerto,Toyota,2017,Automovil,Sedan
TAP-000067,Taxi Aeropuerto,Citroen,2014,Automovil,Sedan
TAP-000070,Taxi Aeropuerto,Toyota,2017,Automovil,Sedan
TAP-000071,Taxi Aeropuerto,Toyota,2013,Automovil,Sedan
TAP-000073,Taxi Aeropuerto,Toyota,2017,Automovil,Sedan
TAP-000075,Taxi Aeropuerto,Toyota,2017,Automovil,Sedan
TAP-000076,Taxi Aeropuerto,Toyota,2017,Microbus,Microbus
TAP-000077,Taxi Aeropuerto,Toyota,2017,Automovil,Sedan
TAP-000078,Taxi Aeropuerto,Toyota,2017,Automovil,Sedan
TAP-000080,Taxi Aeropuerto,Nissan,2018,Automovil,Sedan
TAP-000081,Taxi Aeropuerto,Nissan,2018,Automovil,Sedan
TAP-000082,Taxi Aeropuerto,Toyota,2017,Automovil,Sedan
TAP-000083,Taxi Aeropuerto,Toyota,2017,Automovil,Sedan
TAP-000084,Taxi Aeropuerto,Toyota,2018,Microbus,Microbus
TAP-000085,Taxi Aeropuerto,Nissan,2018,Microbus,Microbus
TAP-000086,Taxi Aeropuerto,Toyota,2014,Automovil,Sedan
TAP-000087,Taxi Aeropuerto,Nissan,2015,Microbus,Microbus
TAP-000088,Taxi Aeropuerto,Toyota,2018,Automovil,Sedan
TAP-000090,Taxi Aeropuerto,Toyota,2018,Automovil,Microbus
TAP-000091,Taxi Aeropuerto,Toyota,2019,Automovil,Sedan
TAP-000092,Taxi Aeropuerto,Peugeot,2016,Automovil,Sedan
TAP-000093,Taxi Aeropuerto,Nissan,2018,Automovil,Sedan
TAP-000095,Taxi Aeropuerto,Nissan,2019,Microbus,Microbus
TAP-000096,Taxi Aeropuerto,Nissan,2018,Automovil,Sedan
TAP-000097,Taxi Aeropuerto,Nissan,2018,Automovil,Sedan
TAP-000098,Taxi Aeropuerto,Nissan,2019,Microbus,Microbus
TAP-000099,Taxi Aeropuerto,Toyota,2019,Automovil,Sedan
TAP-000100,Taxi Aeropuerto,Toyota,2018,Automovil,Microbus
TAP-000101,Taxi Aeropuerto,Toyota,2018,Automovil,Microbus
TAP-000102,Taxi Aeropuerto,Toyota,2019,Microbus,Microbus
TA-000001,Taxi Alajuela,Daihatsu,2010,Automovil,Rural
TA-000002,Taxi Alajuela,Mitsubishi,2013,Carga liviana,Rural
TA-000004,Taxi Alajuela,Hyundai,2015,Automovil,Sedan
TA-000005,Taxi Alajuela,Toyota,2006,Automovil,Sedan
TA-000006,Taxi Alajuela,Toyota,2012,Automovil,Sedan
TA-000007,Taxi Alajuela,Toyota,2008,Automovil,Sedan
TA-000008,Taxi Alajuela,Toyota,2007,Automovil,Sedan
TA-000009,Taxi Alajuela,Toyota,2008,Automovil,Sedan
TA-000010,Taxi Alajuela,Hyundai,2003,Automovil,Sedan
TA-000011,Taxi Alajuela,Toyota,2008,Automovil,Sedan
TA-000012,Taxi Alajuela,Toyota,2009,Automovil,Sedan
TA-000013,Taxi Alajuela,Toyota,2009,Automovil,Sedan
TA-000014,Taxi Alajuela,Toyota,2009,Automovil,Sedan
TA-000015,Taxi Alajuela,Toyota,2012,Automovil,Sedan
TA-000017,Taxi Alajuela,Toyota,2013,Automovil,Sedan
TA-000018,Taxi Alajuela,Hyundai,2002,Automovil,Sedan
TA-000019,Taxi Alajuela,Toyota,2004,Taxi,Sedan
TA-000020,Taxi Alajuela,Toyota,2009,Automovil,Sedan
TA-000021,Taxi Alajuela,Toyota,2004,Automovil,Sedan
TA-000022,Taxi Alajuela,Toyota,2009,Automovil,Sedan
TA-000023,Taxi Alajuela,Toyota,2017,Automovil,Sedan
TA-000024,Taxi Alajuela,Hyundai,2006,Automovil,Sedan
TA-000025,Taxi Alajuela,Toyota,2008,Automovil,Sedan
TA-000026,Taxi Alajuela,Toyota,2008,Automovil,Sedan
TA-000027,Taxi Alajuela,Toyota,2012,Automovil,Sedan
TA-000028,Taxi Alajuela,Toyota,2000,Automovil,Sedan
TA-000029,Taxi Alajuela,Toyota,2006,Automovil,Sedan
TA-000030,Taxi Alajuela,Toyota,2005,Automovil,Sedan
TA-000031,Taxi Alajuela,Toyota,2006,Automovil,Sedan
TA-000032,Taxi Alajuela,Hyundai,2010,Automovil,Sedan
TA-000033,Taxi Alajuela,Toyota,2006,Automovil,Sedan
TA-000034,Taxi Alajuela,Toyota,2007,Automovil,Sedan
TA-000035,Taxi Alajuela,Hyundai,2013,Automovil,Sedan
TA-000036,Taxi Alajuela,Toyota,2005,Automovil,Sedan
TA-000037,Taxi Alajuela,Toyota,2005,Automovil,Sedan
TA-000038,Taxi Alajuela,Hyundai,2012,Automovil,Sedan
TA-000040,Taxi Alajuela,Toyota,2005,Automovil,Sedan
TA-000041,Taxi Alajuela,Toyota,2008,Automovil,Sedan
TA-000042,Taxi Alajuela,Toyota,2009,Automovil,Sedan
TA-000043,Taxi Alajuela,Toyota,2005,Automovil,Sedan
TA-000044,Taxi Alajuela,Nissan,2005,Automovil,Sedan
TA-000045,Taxi Alajuela,Toyota,2006,Automovil,Sedan
TA-000046,Taxi Alajuela,Toyota,2007,Automovil,Rural
TA-000047,Taxi Alajuela,Toyota,2007,Automovil,Sedan
TA-000048,Taxi Alajuela,Toyota,2009,Automovil,Sedan
TA-000049,Taxi Alajuela,Toyota,2005,Automovil,Sedan
TA-000050,Taxi Alajuela,Toyota,2005,Automovil,Sedan
TA-000051,Taxi Alajuela,Toyota,2009,Automovil,Sedan
TA-000052,Taxi Alajuela,Toyota,2011,Automovil,Sedan
TA-000053,Taxi Alajuela,Toyota,2008,Automovil,Sedan
TA-000054,Taxi Alajuela,Toyota,2009,Automovil,Sedan
TA-000055,Taxi Alajuela,Toyota,2006,Automovil,Sedan
TA-000056,Taxi Alajuela,Toyota,2011,Automovil,Sedan
TA-000057,Taxi Alajuela,Mitsubishi,1987,Automovil,Rural
TA-000058,Taxi Alajuela,Toyota,2005,Automovil,Sedan
TA-000059,Taxi Alajuela,Toyota,2011,Automovil,Sedan
TA-000061,Taxi Alajuela,Toyota,2009,Automovil,Sedan
TA-000062,Taxi Alajuela,Toyota,2007,Automovil,Sedan
TA-000063,Taxi Alajuela,Toyota,2005,Automovil,Sedan
TA-000064,Taxi Alajuela,Toyota,2006,Automovil,Sedan
TA-000065,Taxi Alajuela,Daihatsu,2010,Automovil,Rural
TA-000067,Taxi Alajuela,Toyota,2005,Automovil,Sedan
TA-000068,Taxi Alajuela,Toyota,2008,Automovil,Sedan
TA-000069,Taxi Alajuela,Nissan,2012,Automovil,Sedan
TA-000070,Taxi Alajuela,Toyota,2008,Automovil,Sedan
TA-000071,Taxi Alajuela,Toyota,2012,Automovil,Sedan
TA-000072,Taxi Alajuela,Toyota,2008,Automovil,Sedan
TA-000073,Taxi Alajuela,Toyota,2007,Automovil,Sedan
TA-000074,Taxi Alajuela,Toyota,2007,Automovil,Sedan
TA-000075,Taxi Alajuela,Toyota,2004,Automovil,Sedan
TA-000077,Taxi Alajuela,Toyota,2005,Automovil,Sedan
TA-000078,Taxi Alajuela,Toyota,2007,Automovil,Sedan
TA-000079,Taxi Alajuela,Toyota,2018,Automovil,Sedan
TA-000080,Taxi Alajuela,Kia,2006,Automovil,Sedan
TA-000081,Taxi Alajuela,Hyundai,2009,Automovil,Sedan
TA-000082,Taxi Alajuela,Toyota,2006,Automovil,Sedan
TA-000083,Taxi Alajuela,Toyota,2005,Taxi,Sedan
TA-000084,Taxi Alajuela,Hyundai,2005,Automovil,Sedan
TA-000085,Taxi Alajuela,Toyota,2006,Automovil,Sedan
TA-000086,Taxi Alajuela,Toyota,2004,Automovil,Sedan
TA-000087,Taxi Alajuela,Toyota,2008,Automovil,Sedan
TA-000088,Taxi Alajuela,Hyundai,1996,Automovil,Sedan
TA-000089,Taxi Alajuela,Toyota,2005,Automovil,Sedan
TA-000090,Taxi Alajuela,Toyota,2006,Automovil,Sedan
TA-000091,Taxi Alajuela,Hyundai,2004,Automovil,Sedan
TA-000092,Taxi Alajuela,Toyota,2017,Automovil,Sedan
TA-000093,Taxi Alajuela,Toyota,2007,Automovil,Sedan
TA-000094,Taxi Alajuela,Daihatsu,2005,Automovil,Rural
TA-000096,Taxi Alajuela,Toyota,2008,Automovil,Sedan
TA-000097,Taxi Alajuela,Nissan,2012,Automovil,Sedan
TA-000098,Taxi Alajuela,Toyota,2007,Automovil,Sedan
TA-000099,Taxi Alajuela,Toyota,2007,Automovil,Sedan
TA-000100,Taxi Alajuela,Faw,2014,Automovil,Sedan
TA-000101,Taxi Alajuela,Toyota,2005,Automovil,Sedan
TA-000102,Taxi Alajuela,Toyota,2008,Automovil,Sedan
TA-000103,Taxi Alajuela,Kia,2006,Automovil,Sedan
TA-000104,Taxi Alajuela,Hyundai,2001,Automovil,Sedan
TA-000105,Taxi Alajuela,Toyota,2007,Automovil,Sedan
TA-000106,Taxi Alajuela,Nissan,2006,Carga liviana,Rural
TA-000107,Taxi Alajuela,Toyota,2013,Automovil,Sedan
TA-000109,Taxi Alajuela,Toyota,2007,Automovil,Sedan
TA-000110,Taxi Alajuela,Daihatsu,2008,Automovil,Rural
TA-000111,Taxi Alajuela,Toyota,2008,Automovil,Sedan
TA-000112,Taxi Alajuela,Toyota,2006,Automovil,Sedan
TA-000113,Taxi Alajuela,Toyota,2011,Automovil,Sedan
TA-000114,Taxi Alajuela,Toyota,2008,Automovil,Sedan
TA-000115,Taxi Alajuela,Toyota,2004,Automovil,Sedan
TA-000116,Taxi Alajuela,Toyota,2001,Automovil,Sedan
TA-000117,Taxi Alajuela,Toyota,2005,Taxi,Sedan
TA-000118,Taxi Alajuela,Toyota,2016,Automovil,Sedan
TA-000120,Taxi Alajuela,Mitsubishi,2008,Carga liviana,Rural
TA-000121,Taxi Alajuela,Toyota,2012,Automovil,Sedan
TA-000122,Taxi Alajuela,Suzuki,2008,Automovil,Sedan
TA-000123,Taxi Alajuela,Toyota,2006,Automovil,Sedan
TA-000124,Taxi Alajuela,Toyota,2012,Automovil,Sedan
TA-000125,Taxi Alajuela,Toyota,2004,Automovil,Sedan
TA-000126,Taxi Alajuela,Toyota,2007,Automovil,Sedan
TA-000127,Taxi Alajuela,Hyundai,2008,Automovil,Sedan
TA-000128,Taxi Alajuela,Toyota,2010,Automovil,Sedan
TA-000129,Taxi Alajuela,Toyota,2007,Automovil,Sedan
TA-000130,Taxi Alajuela,Toyota,2007,Automovil,Sedan
TA-000131,Taxi Alajuela,Toyota,2012,Automovil,Sedan
TA-000132,Taxi Alajuela,Toyota,2014,Automovil,Sedan
TA-000133,Taxi Alajuela,Toyota,2005,Automovil,Sedan
TA-000134,Taxi Alajuela,Toyota,2006,Automovil,Sedan
TA-000136,Taxi Alajuela,Daihatsu,2005,Automovil,Rural
TA-000137,Taxi Alajuela,Toyota,2008,Automovil,Sedan
TA-000138,Taxi Alajuela,Toyota,2007,Automovil,Sedan
TA-000139,Taxi Alajuela,Toyota,2017,Automovil,Sedan
TA-000140,Taxi Alajuela,Hyundai,2007,Automovil,Sedan
TA-000141,Taxi Alajuela,Toyota,2004,Automovil,Sedan
TA-000142,Taxi Alajuela,Hyundai,2004,Automovil,Sedan
TA-000143,Taxi Alajuela,Hyundai,2005,Automovil,Sedan
TA-000144,Taxi Alajuela,Daihatsu,2009,Automovil,Rural
TA-000145,Taxi Alajuela,Toyota,2006,Carga liviana,Rural
TA-000146,Taxi Alajuela,Toyota,2008,Automovil,Sedan
TA-000147,Taxi Alajuela,Toyota,2008,Automovil,Sedan
TA-000149,Taxi Alajuela,Toyota,2007,Automovil,Sedan
TA-000150,Taxi Alajuela,Isuzu,2008,Carga liviana,Rural
TA-000151,Taxi Alajuela,Toyota,2017,Automovil,Sedan
TA-000152,Taxi Alajuela,Toyota,2006,Automovil,Sedan
TA-000153,Taxi Alajuela,Toyota,2005,Automovil,Rural
TA-000154,Taxi Alajuela,Toyota,2007,Automovil,Sedan
TA-000155,Taxi Alajuela,Toyota,2009,Automovil,Sedan
TA-000156,Taxi Alajuela,Toyota,2008,Automovil,Sedan
TA-000157,Taxi Alajuela,Toyota,2009,Automovil,Sedan
TA-000158,Taxi Alajuela,Daihatsu,2008,Automovil,Rural
TA-000160,Taxi Alajuela,Toyota,2006,Automovil,Sedan
TA-000161,Taxi Alajuela,Toyota,2007,Automovil,Sedan
TA-000162,Taxi Alajuela,Toyota,2006,Automovil,Sedan
TA-000163,Taxi Alajuela,Hyundai,2009,Automovil,Sedan
TA-000164,Taxi Alajuela,Toyota,2004,Automovil,Sedan
TA-000165,Taxi Alajuela,Greatwall,2008,Carga liviana,Rural
TA-000166,Taxi Alajuela,Nissan,2017,Automovil,Sedan
TA-000167,Taxi Alajuela,Toyota,2004,Automovil,Sedan
TA-000168,Taxi Alajuela,Toyota,2006,Automovil,Sedan
TA-000169,Taxi Alajuela,Toyota,2004,Automovil,Rural
TA-000171,Taxi Alajuela,Toyota,2005,Automovil,Sedan
TA-000172,Taxi Alajuela,Toyota,2008,Automovil,Sedan
TA-000173,Taxi Alajuela,Daihatsu,2007,Automovil,Rural
TA-000174,Taxi Alajuela,Nissan,2017,Automovil,Sedan
TA-000175,Taxi Alajuela,Hyundai,2005,Automovil,Sedan
TA-000176,Taxi Alajuela,Nissan,2017,Automovil,Sedan
TA-000177,Taxi Alajuela,Toyota,2016,Automovil,Sedan
TA-000178,Taxi Alajuela,Toyota,2006,Automovil,Sedan
TA-000179,Taxi Alajuela,Toyota,2016,Automovil,Sedan
TA-000180,Taxi Alajuela,Toyota,2011,Automovil,Sedan
TA-000181,Taxi Alajuela,Toyota,2010,Automovil,Sedan
TA-000182,Taxi Alajuela,Toyota,2008,Automovil,Sedan
TA-000183,Taxi Alajuela,Toyota,2012,Automovil,Rural
TA-000184,Taxi Alajuela,Toyota,2007,Automovil,Sedan
TA-000186,Taxi Alajuela,Toyota,2006,Automovil,Sedan
TA-000187,Taxi Alajuela,Hyundai,2003,Automovil,Sedan
TA-000188,Taxi Alajuela,Toyota,2007,Automovil,Sedan
TA-000189,Taxi Alajuela,Toyota,2008,Automovil,Sedan
TA-000190,Taxi Alajuela,Daihatsu,2009,Automovil,Rural
TA-000191,Taxi Alajuela,Toyota,2011,Automovil,Sedan
TA-000192,Taxi Alajuela,Toyota,2016,Automovil,Sedan
TA-000193,Taxi Alajuela,Hyundai,2004,Automovil,Sedan
TA-000194,Taxi Alajuela,Toyota,2007,Automovil,Sedan
TA-000195,Taxi Alajuela,Toyota,2009,Automovil,Sedan
TA-000196,Taxi Alajuela,Toyota,2006,Automovil,Sedan
TA-000197,Taxi Alajuela,Toyota,2009,Automovil,Sedan
TA-000198,Taxi Alajuela,Toyota,2018,Automovil,Sedan
TA-000199,Taxi Alajuela,Toyota,2013,Automovil,Sedan
TA-000200,Taxi Alajuela,Mitsubishi,2009,Automovil,Rural
TA-000201,Taxi Alajuela,Hyundai,2007,Automovil,Sedan
TA-000202,Taxi Alajuela,Toyota,2006,Automovil,Sedan
TA-000203,Taxi Alajuela,Toyota,2005,Automovil,Sedan
TA-000204,Taxi Alajuela,Toyota,2005,Automovil,Sedan
TA-000205,Taxi Alajuela,Toyota,2007,Automovil,Sedan
TA-000206,Taxi Alajuela,Toyota,2007,Automovil,Sedan
TA-000207,Taxi Alajuela,Toyota,2007,Automovil,Sedan
TA-000208,Taxi Alajuela,Hyundai,2015,Automovil,Sedan
TA-000209,Taxi Alajuela,Toyota,2013,Automovil,Sedan
TA-000210,Taxi Alajuela,Toyota,2009,Automovil,Sedan
TA-000212,Taxi Alajuela,Nissan,2010,Carga liviana,Sedan
TA-000213,Taxi Alajuela,Toyota,2005,Automovil,Sedan
TA-000214,Taxi Alajuela,Toyota,2011,Automovil,Sedan
TA-000216,Taxi Alajuela,Toyota,2009,Automovil,Sedan
TA-000217,Taxi Alajuela,Daihatsu,2006,Automovil,Rural
TA-000219,Taxi Alajuela,Nissan,2008,Automovil,Sedan
TA-000220,Taxi Alajuela,Toyota,2005,Automovil,Sedan
TA-000221,Taxi Alajuela,Nissan,2008,Automovil,Sedan
TA-000222,Taxi Alajuela,Toyota,2008,Automovil,Sedan
TA-000223,Taxi Alajuela,Toyota,2006,Automovil,Sedan
TA-000224,Taxi Alajuela,Toyota,2007,Automovil,Sedan
TA-000225,Taxi Alajuela,Hyundai,2006,Automovil,Sedan
TA-000226,Taxi Alajuela,Toyota,2007,Automovil,Sedan
TA-000227,Taxi Alajuela,Toyota,2006,Automovil,Sedan
TA-000228,Taxi Alajuela,Toyota,2004,Automovil,Sedan
TA-000229,Taxi Alajuela,Hyundai,2015,Automovil,Sedan
TA-000230,Taxi Alajuela,Nissan,2016,Automovil,Sedan
TA-000231,Taxi Alajuela,Toyota,2007,Automovil,Sedan
TA-000233,Taxi Alajuela,Mitsubishi,2008,Carga liviana,Rural
TA-000234,Taxi Alajuela,Toyota,2016,Automovil,Rural
TA-000235,Taxi Alajuela,Toyota,2009,Automovil,Sedan
TA-000236,Taxi Alajuela,Toyota,2017,Automovil,Sedan
TA-000237,Taxi Alajuela,Nissan,2008,Carga liviana,Rural
TA-000238,Taxi Alajuela,Toyota,2008,Automovil,Sedan
TA-000239,Taxi Alajuela,Mitsubishi,2016,Automovil,Rural
TA-000241,Taxi Alajuela,Toyota,2007,Automovil,Sedan
TA-000242,Taxi Alajuela,Toyota,2008,Automovil,Sedan
TA-000243,Taxi Alajuela,Toyota,2007,Automovil,Sedan
TA-000244,Taxi Alajuela,Toyota,2008,Automovil,Sedan
TA-000246,Taxi Alajuela,Hyundai,2006,Automovil,Sedan
TA-000247,Taxi Alajuela,Toyota,2008,Automovil,Sedan
TA-000248,Taxi Alajuela,Toyota,2008,Automovil,Sedan
TA-000249,Taxi Alajuela,Mitsubishi,2007,Carga liviana,Rural
TA-000250,Taxi Alajuela,Toyota,2006,Automovil,Sedan
TA-000251,Taxi Alajuela,Hyundai,2013,Automovil,Sedan
TA-000252,Taxi Alajuela,Nissan,2005,Carga liviana,Rural
TA-000253,Taxi Alajuela,Toyota,2009,Automovil,Sedan
TA-000254,Taxi Alajuela,Toyota,2009,Automovil,Sedan
TA-000255,Taxi Alajuela,Toyota,2006,Automovil,Sedan
TA-000256,Taxi Alajuela,Hyundai,2006,Automovil,Rural
TA-000257,Taxi Alajuela,Toyota,2010,Automovil,Sedan
TA-000258,Taxi Alajuela,Ssang yong,2006,Automovil,Rural
TA-000259,Taxi Alajuela,Toyota,2009,Automovil,Sedan
TA-000260,Taxi Alajuela,Toyota,2008,Carga liviana,Rural
TA-000261,Taxi Alajuela,Isuzu,2015,Carga liviana,Rural
TA-000262,Taxi Alajuela,Hyundai,2004,Automovil,Sedan
TA-000263,Taxi Alajuela,Hyundai,2005,Automovil,Sedan
TA-000265,Taxi Alajuela,Hyundai,2005,Automovil,Sedan
TA-000266,Taxi Alajuela,Hyundai,2008,Automovil,Sedan
TA-000267,Taxi Alajuela,Toyota,2009,Automovil,Sedan
TA-000268,Taxi Alajuela,Ford,2009,Automovil,Sedan
TA-000269,Taxi Alajuela,Daihatsu,2009,Automovil,Rural
TA-000271,Taxi Alajuela,Toyota,2017,Automovil,Sedan
TA-000272,Taxi Alajuela,Toyota,2008,Automovil,Sedan
TA-000273,Taxi Alajuela,Toyota,2011,Automovil,Sedan
TA-000274,Taxi Alajuela,Toyota,2008,Automovil,Sedan
TA-000275,Taxi Alajuela,Hyundai,2007,Automovil,Sedan
TA-000276,Taxi Alajuela,Toyota,2008,Automovil,Sedan
TA-000277,Taxi Alajuela,Toyota,2006,Taxi,Sedan
TA-000278,Taxi Alajuela,Toyota,2005,Carga liviana,Rural
TA-000279,Taxi Alajuela,Toyota,2007,Automovil,Sedan
TA-000280,Taxi Alajuela,Hyundai,2006,Automovil,Sedan
TA-000281,Taxi Alajuela,Toyota,2008,Automovil,Sedan
TA-000282,Taxi Alajuela,Toyota,2008,Automovil,Sedan
TA-000283,Taxi Alajuela,Kia,2010,Automovil,Rural
TA-000284,Taxi Alajuela,Nissan,2009,Carga liviana,Rural
TA-000285,Taxi Alajuela,Nissan,2012,Carga liviana,Rural
TA-000286,Taxi Alajuela,Toyota,2018,Automovil,Rural
TA-000287,Taxi Alajuela,Nissan,2009,Automovil,Sedan
TA-000288,Taxi Alajuela,Hyundai,2007,Automovil,Sedan
TA-000289,Taxi Alajuela,Toyota,2007,Automovil,Sedan
TA-000290,Taxi Alajuela,Toyota,2009,Automovil,Sedan
TA-000291,Taxi Alajuela,Daihatsu,2011,Automovil,Rural
TA-000293,Taxi Alajuela,Toyota,2004,Automovil,Sedan
TA-000294,Taxi Alajuela,Toyota,2006,Automovil,Sedan
TA-000295,Taxi Alajuela,Toyota,2005,Automovil,Sedan
TA-000296,Taxi Alajuela,Toyota,2007,Automovil,Sedan
TA-000297,Taxi Alajuela,Toyota,2006,Autobus,Sedan
TA-000299,Taxi Alajuela,Toyota,2010,Automovil,Sedan
TA-000300,Taxi Alajuela,Hyundai,2007,Automovil,Sedan
TA-000301,Taxi Alajuela,Nissan,2011,Automovil,Sedan
TA-000302,Taxi Alajuela,Toyota,2011,Automovil,Sedan
TA-000303,Taxi Alajuela,Toyota,2008,Automovil,Sedan
TA-000304,Taxi Alajuela,Toyota,2008,Automovil,Sedan
TA-000305,Taxi Alajuela,Toyota,2012,Automovil,Sedan
TA-000307,Taxi Alajuela,Toyota,2017,Automovil,Sedan
TA-000308,Taxi Alajuela,Hyundai,2005,Automovil,Sedan
TA-000310,Taxi Alajuela,Nissan,2005,Automovil,Sedan
TA-000311,Taxi Alajuela,Toyota,2006,Automovil,Sedan
TA-000312,Taxi Alajuela,Hyundai,2004,Automovil,Sedan
TA-000313,Taxi Alajuela,Toyota,2006,Automovil,Sedan
TA-000314,Taxi Alajuela,Toyota,2012,Automovil,Sedan
TA-000315,Taxi Alajuela,Hyundai,2008,Automovil,Sedan
TA-000316,Taxi Alajuela,Toyota,2008,Automovil,Sedan
TA-000317,Taxi Alajuela,Toyota,2013,Automovil,Sedan
TA-000319,Taxi Alajuela,Toyota,2010,Automovil,Sedan
TA-000320,Taxi Alajuela,Toyota,2009,Automovil,Sedan
TA-000321,Taxi Alajuela,Mitsubishi,2008,Carga liviana,Rural
TA-000322,Taxi Alajuela,Toyota,2006,Automovil,Sedan
TA-000323,Taxi Alajuela,Hyundai,2006,Automovil,Sedan
TA-000324,Taxi Alajuela,Greatwall,2007,Carga liviana,Rural
TA-000325,Taxi Alajuela,Toyota,2012,Automovil,Sedan
